position_api,position_calculated,title,publication,authors,self_citation_status,matched_text,link,data_cid
8,468,miR-133b regulation of wbp2 in ovaries is conserved among teleosts,"J Zhou, Q Min, X Ba, Z Qu, Z Zhuang, B Yuan… - Acta Oceanologica …, 2025 - Springer",J Zhou; Q Min; X Ba; Z Qu; Z Zhuang; B Yuan…,NO AUTOCITA,,https://link.springer.com/article/10.1007/s13131-025-2560-7,Ftji_lk9ww4J
9,469,A role for estrogen in somatic cell fate of the mammalian gonad,"AJ Pask - Chromosome research, 2012 - Springer",AJ Pask,NO AUTOCITA,,https://link.springer.com/article/10.1007/s10577-011-9260-1,QNapf50pwXcJ
10,470,The forkhead factor FOXL2: a novel tumor suppressor?,"BA Benayoun, N Kalfa, C Sultan, RA Veitia - Biochimica et Biophysica Acta …, 2010 - Elsevier",BA Benayoun; N Kalfa; C Sultan; RA Veitia,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0304419X09000602,pTubs3dwWZgJ
11,471,Comparative study of microRNA regulation on FOXL2 between adult-type and juvenile-type granulosa cell tumours in vitro,"R Rosario, C Blenkiron, AN Shelling - Gynecologic Oncology, 2013 - Elsevier",R Rosario; C Blenkiron; AN Shelling,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0090825812009912,GzYRhFMp3YEJ
12,472,"Identification and functional analyses of a novel FOXL2 pathogenic variant causing blepharophimosis, ptosis, and epicanthus inversus syndrome","YC Yan, L Zhou, JC Fan - International Journal of …, 2023 - pmc.ncbi.nlm.nih.gov",YC Yan; L Zhou; JC Fan,NO AUTOCITA,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10172100/,BUfPll6vImYJ
13,473,Cis-regulatory control of mammalian sex determination,"M Ridnik, S Schoenfelder, N Gonen - Sexual Development, 2021 - karger.com",M Ridnik; S Schoenfelder; N Gonen,NO AUTOCITA,,https://karger.com/sxd/article/15/5-6/317/829215,8nTOmlofyDIJ
14,474,"Oleic acid induces down-regulation of the granulosa cell identity marker FOXL2, and up-regulation of the Sertoli cell marker SOX9 in bovine granulosa cells","VR Yenuganti, J Vanselow - Reproductive Biology and Endocrinology, 2017 - Springer",VR Yenuganti; J Vanselow,NO AUTOCITA,,https://link.springer.com/article/10.1186/s12958-017-0276-z,wYGv5u-qiroJ
15,475,Insights into in vivo follicle formation: a review of in vitro systems,"R Tanimoto, K Yoshida, S Ikeda, Y Obata - Histochemistry and Cell …, 2022 - Springer",R Tanimoto; K Yoshida; S Ikeda; Y Obata,NO AUTOCITA,,https://link.springer.com/article/10.1007/s00418-021-02058-w,NwXFx65P7UkJ
16,476,Comparative Studies on Duplicated foxl2 Paralogs in Spotted Knifejaw Oplegnathus punctatus Show Functional Diversification,"X Du, H Yu, Y Wang, J Liu, Q Zhang - Genes, 2023 - mdpi.com",X Du; H Yu; Y Wang; J Liu; Q Zhang,NO AUTOCITA,,https://www.mdpi.com/2073-4425/14/10/1847,C_q_J3iRNV4J
17,477,"Cryo-survival, fertilization and early embryonic development of vitrified oocytes derived from mice of different reproductive age","J Yan, J Suzuki, X Yu, FWK Kan, J Qiao… - Journal of assisted …, 2010 - Springer",J Yan; J Suzuki; X Yu; FWK Kan; J Qiao,NO AUTOCITA,,https://link.springer.com/article/10.1007/s10815-010-9450-3,WNDJI4yEsHMJ
18,478,Sexually Dimorphic Expression of Foxl2 and Ftz‐F1 in Chinese Giant Salamander Andrias Davidianus,"Q Hu, Y Meng, H Tian, YU Zhang… - Journal of Experimental …, 2016 - Wiley Online Library",Q Hu; Y Meng; H Tian; YU Zhang…,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.b.22693,IHsGHiQN7rsJ
19,479,Differential apoptotic and proliferative activities of wild-type FOXL2 and blepharophimosis-ptosis-epicanthus inversus syndrome (BPES)-associated mutant FOXL2 …,"JH Kim, J Bae - Journal of Reproduction and Development, 2014 - jstage.jst.go.jp",JH Kim; J Bae,NO AUTOCITA,,https://www.jstage.jst.go.jp/article/jrd/60/1/60_2013-090/_article/-char/ja/,kBHvaBClIp8J
20,480,A novel FOXL2 mutation in two infertile patients with blepharophimosis–ptosis–epicanthus inversus syndrome,"J Hu, H Ke, W Luo, Y Yang, H Liu, G Li, Y Qin… - Journal of Assisted …, 2020 - Springer",J Hu; H Ke; W Luo; Y Yang; H Liu; G Li; Y Qin…,NO AUTOCITA,,https://link.springer.com/article/10.1007/s10815-019-01651-2,uRezsguRQXAJ
1,481,Transcriptome analysis provides insights into differentially expressed genes and long noncoding RNAs involved in sex‐related differences in Amur sturgeon …,"X Zhang, J Shi, Y Sun, Y Zhu, Z Zhang… - Molecular …, 2019 - Wiley Online Library",X Zhang; J Shi; Y Sun; Y Zhu; Z Zhang…,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrd.23065,0gltJvuIF5wJ
2,482,Development of cloned embryos from porcine neural stem cells and amniotic fluid-derived stem cells transfected with enhanced green fluorescence protein gene,"YM Zheng, HY Zhao, XE Zhao, FS Quan, S Hua… - …, 2009 - rep.bioscientifica.com",YM Zheng; HY Zhao; XE Zhao; FS Quan; S Hua…,NO AUTOCITA,,https://rep.bioscientifica.com/view/journals/rep/137/5/793.xml,G315cSZnVDoJ
3,483,Premature ovarian failure and forkhead transcription factor FOXL2: blepharophimosis-ptosis-epicanthus inversus syndrome and ovarian dysfunction.,"E De Baere, S Copelli, S Caburet… - Pediatric …, 2005 - europepmc.org",E De Baere; S Copelli; S Caburet,NO AUTOCITA,,https://europepmc.org/article/med/16208278,wdSfqQBTpXcJ
4,484,Signaling pathways in morphogenesis of cornea and eyelid,"WWY Rao, Y Xia, CY Liu - The Ocular Surface, 2008 - Elsevier",WWY Rao; Y Xia; CY Liu,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S1542012412701027,NhuSNAtqIzkJ
5,485,Distinct Transcriptional Mechanisms Direct Expression of the Rat Dmrt1 Promoter in Sertoli Cells and Germ Cells of Transgenic Mice,"N Lei, T Karpova, KI Hornbaker, DA Rice… - Biology of …, 2009 - academic.oup.com",N Lei; T Karpova; KI Hornbaker; DA Rice…,NO AUTOCITA,,https://academic.oup.com/biolreprod/article-abstract/81/1/118/2557846,xsHrALg9hmIJ
6,486,Organogenesis of the ovary: a comparative review on vertebrate ovary formation,"AC Ditewig, HHC Yao - Organogenesis, 2005 - Taylor & Francis",AC Ditewig; HHC Yao,NO AUTOCITA,,https://www.tandfonline.com/doi/abs/10.4161/org.2.2.2491,4bk4_plqNE0J
7,487,"Combinational approach of retrospective clinical evidence and transcriptomics highlight AMH superiority to FSH, as successful ICSI outcome predictor","SL Kastora, O Triantafyllidou, G Kolovos… - Journal of Assisted …, 2020 - Springer",SL Kastora; O Triantafyllidou; G Kolovos…,NO AUTOCITA,,https://link.springer.com/article/10.1007/s10815-020-01802-w,RfDgbIT95UAJ
8,488,Mitochondrial dysfunction and age-related oocyte quality,"H Li, RC Chian - Reproductive and Developmental Medicine, 2017 - mednexus.org",H Li; RC Chian,NO AUTOCITA,,https://mednexus.org/doi/abs/10.4103/2096-2924.210693,y3KDu8eD-GcJ
9,489,Mechanisms of Disease: normal and abnormal gonadal development and sex determination in mammals,"P Val, A Swain - Nature Clinical Practice Urology, 2005 - nature.com",P Val; A Swain,NO AUTOCITA,,https://www.nature.com/articles/ncpuro0354,Oj8QG4macCYJ
10,490,Functional analysis of a novel FOXL2 indel mutation in Chinese families with blepharophimosis-ptosis-epicanthus inversus syndrome type I,"P Chai, F Li, J Fan, R Jia, H Zhang… - International journal of …, 2017 - pmc.ncbi.nlm.nih.gov",P Chai; F Li; J Fan; R Jia; H Zhang…,NO AUTOCITA,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5599907/,Q_Un6khTAmgJ
11,491,Females battle to suppress their inner male,"A Sinclair, C Smith - Cell, 2009 - cell.com",A Sinclair; C Smith,NO AUTOCITA,,https://www.cell.com/fulltext/S0092-8674(09)01494-9,918aEdYBvXIJ
12,492,"Disorder of sex development (XX male, SRY negative) in a French bulldog","DW Silversides, JM Benoit, F Collard… - The Canadian …, 2011 - pmc.ncbi.nlm.nih.gov",DW Silversides; JM Benoit; F Collard…,NO AUTOCITA,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3095171/,fX8CuJ7itkMJ
13,493,"Effects of FSH and LH on ovarian and follicular blood flow, follicular growth and oocyte developmental competence in young and old mares","JL Altermatt, AJ Marolf, RH Wrigley… - Animal reproduction …, 2012 - Elsevier",JL Altermatt; AJ Marolf; RH Wrigley…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0378432012001984,Do3KaqV3OFQJ
14,494,Advanced Maternal Age and Assisted Reproductive Technologies in an Irish Population.,"LO Shea, C Hughes, EV Mocanu - Irish medical journal, 2015 - europepmc.org",LO Shea; C Hughes; EV Mocanu,NO AUTOCITA,,https://europepmc.org/article/med/26485833,U4rGvOBbtq0J
15,495,Mouse models of gonadotrope development,"CE Stallings, J Kapali, BS Ellsworth - Progress in Molecular Biology and …, 2016 - Elsevier",CE Stallings; J Kapali; BS Ellsworth,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S1877117316300539,oLJMRuCSI2kJ
16,496,"SPATS1 (spermatogenesis-associated, serine-rich 1) is not essential for spermatogenesis and fertility in mouse","CA Capoano, LA Ortiz-Laquintana… - PloS One, 2021 - journals.plos.org",CA Capoano; LA Ortiz-Laquintana…,NO AUTOCITA,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0251028,DVa9p872jiQJ
17,497,Characterization of DMRT1 Variants for Testis Determination and Differentiation in Emu,"Y Kimura, M Okuno, L Matiz-Ceron… - … and Genome Research, 2026 - karger.com",Y Kimura; M Okuno; L Matiz-Ceron…,NO AUTOCITA,,https://karger.com/cgr/article-abstract/doi/10.1159/000548251/934031,8FLE0l6It_QJ
18,498,The new molecular biology of granulosa cell tumors of the ovary,"N Kalfa, RA Veitia, BA Benayoun, B Boizet-Bonhoure… - Genome medicine, 2009 - Springer",N Kalfa; RA Veitia; BA Benayoun; B Boizet-Bonhoure…,NO AUTOCITA,,https://link.springer.com/article/10.1186/gm81,2EJxLvBKMbMJ
19,499,The fused toes locus is essential for somatic-germ cell interactions that foster germ cell maturation in developing gonads in mice,"B Kim, Y Kim, PS Cooke, U Rüther… - Biology of …, 2011 - academic.oup.com",B Kim; Y Kim; PS Cooke; U Rüther…,NO AUTOCITA,,https://academic.oup.com/biolreprod/article-abstract/84/5/1024/2530450,HZk4jBCL5n4J
20,500,Screening for mutations of the FOXO4 gene in premature ovarian failure patients,"DJ Fonseca, E Garzón, B Lakhal, R Braham… - Reproductive …, 2012 - Elsevier",DJ Fonseca; E Garzón; B Lakhal; R Braham,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S1472648311006572,kgHjGVVNvB8J
1,501,Hormone-induced delayed ovulation affects early embryonic development,"AK Bittner, B Horsthemke, E Winterhager, R Grümmer - Fertility and sterility, 2011 - Elsevier",AK Bittner; B Horsthemke; E Winterhager; R Grümmer,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0015028211004316,cjB5QOOXmmoJ
2,502,XY oocytes of sex-reversed females with a Sry mutation deviate from the normal developmental process beyond the mitotic stage,"A Sakashita, T Wakai, Y Kawabata… - Biology of …, 2019 - academic.oup.com",A Sakashita; T Wakai; Y Kawabata…,NO AUTOCITA,,https://academic.oup.com/biolreprod/article-abstract/100/3/697/5115558,8cX2Ae10tV4J
3,503,Novel action of FOXL2 as mediator of Col1a2 gene autoregulation,"M Marongiu, M Deiana, L Marcia, A Sbardellati… - Developmental …, 2016 - Elsevier",M Marongiu; M Deiana; L Marcia; A Sbardellati…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0012160616300707,SfKvsFvZpYMJ
4,504,Diminished ovarian reserve and premature ovarian failure: A review,"R Zangmo, N Singh, J Sharma - IVF Lite, 2016 - go.gale.com",R Zangmo; N Singh; J Sharma,NO AUTOCITA,,https://go.gale.com/ps/i.do?id=GALE%7CA468105988&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=23482907&p=HRCA&sw=w,Z0xNQ4DizrUJ
5,505,"Perimenopause Amelioration of a TCM Recipe Composed of Radix Astragali, Radix Angelicae Sinensis, and Folium Epimedii: An In Vivo Study on Natural Aging Rat …","JY Su, QF Xie, WJ Liu, P Lai, DD Liu… - Evidence‐Based …, 2013 - Wiley Online Library",JY Su; QF Xie; WJ Liu; P Lai; DD Liu…,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1155/2013/747240,ZBul4y3NI9MJ
6,506,Molecular pathology of polyalanine expansion disorders: new perspectives from mouse models,"JN Hughes, PQ Thomás - Tandem Repeats in Genes, Proteins, and …, 2013 - Springer",JN Hughes; PQ Thomas,NO AUTOCITA,,https://link.springer.com/protocol/10.1007/978-1-62703-438-8_10,olZfmVV1pRkJ
7,507,Mutational probing of the forkhead domain of the transcription factor FOXL2 provides insights into the pathogenicity of naturally occurring mutations,"AL Todeschini, A Dipietromaria, D L'hôte… - Human Molecular …, 2011 - academic.oup.com",AL Todeschini; A Dipietromaria; D L'hôte…,NO AUTOCITA,,https://academic.oup.com/hmg/article-abstract/20/17/3376/2527021,MB1-iVgcxggJ
8,508,β-Catenin gain of function mutant in mouse periocular neural crest-derived mesenchymal cells impairs embryonic eyelid morphogenesis and leads to …,"YC Wang, Y Yuan, J Zhang, Y Zhang, WWY Kao… - The Ocular Surface, 2024 - Elsevier",YC Wang; Y Yuan; J Zhang; Y Zhang; WWY Kao,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S1542012424000922,xQxXSp5xNFcJ
9,509,A piggyBac insertion disrupts Foxl2 expression that mimics BPES syndrome in mice,"F Shi, S Ding, S Zhao, M Han, Y Zhuang… - Human Molecular …, 2014 - academic.oup.com",F Shi; S Ding; S Zhao; M Han; Y Zhuang…,NO AUTOCITA,,https://academic.oup.com/hmg/article-abstract/23/14/3792/558425,cn5U5Cm0aPoJ
10,510,Gonadal mRNA expression levels of TGFβ superfamily signaling factors correspond with post-hatching morphological development in American alligators,"BC Moore, HJ Hamlin, NL Botteri, LJ Guillette Jr - Sexual Development, 2010 - karger.com",BC Moore; HJ Hamlin; NL Botteri; LJ Guillette Jr,NO AUTOCITA,,https://karger.com/sxd/article/4/1-2/62/296545,AjS76kwGP70J
11,511,FOXO1 Negates the Cooperative Action of FOXL2C134W and SMAD3 in CYP19 Expression in HGrC1 Cells by Sequestering SMAD3,"M Belli, C Secchi, D Stupack… - Journal of the Endocrine …, 2019 - academic.oup.com",M Belli; C Secchi; D Stupack,NO AUTOCITA,,https://academic.oup.com/jes/article-abstract/3/11/2064/5555978,PXf9IJb-RYsJ
12,512,Divergent regulatory element programs steer sex-specific supporting cell differentiation along mouse gonadal development,"I Stévant, E Abberbock, M Ridnik, R Weiss, L Swisa… - bioRxiv, 2024 - researchgate.net",I Stévant; E Abberbock; M Ridnik; R Weiss; L Swisa…,NO AUTOCITA,,https://www.researchgate.net/profile/Isabelle-Stevant/publication/387024563_Divergent_regulatory_element_programs_steer_sex-specific_supporting_cell_differentiation_along_mouse_gonadal_development/links/675c7c7cda24c8537c6c34d4/Divergent-regulatory-element-programs-steer-sex-specific-supporting-cell-differentiation-along-mouse-gonadal-development.pdf,mP8ai6Ndq4QJ
13,513,Molecular characterization and expression profiling of foxl2 in zig-zag eel (Mastacembelus armatus),"H Zhou, DM Zhong, MQ Zhang, CP Zhang, WJ Qin… - Gene Reports, 2023 - Elsevier",H Zhou; DM Zhong; MQ Zhang; CP Zhang; WJ Qin…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S2452014423000924,GYhNIq9Dy20J
14,514,Impact of altered Energy metabolism and Immune regulation in reproductive health of Aged Men,"S Ghosh, D Ghosh, PS Singha - Chemical Biology Letters, 2021 - thesciencein.org",S Ghosh; D Ghosh; PS Singha,NO AUTOCITA,,https://thesciencein.org/direct/index.php/cbl/article/view/251,5Mxxqvvq8BoJ
15,515,DL-α-tocopherol acetate mitigates maternal hyperthermia-induced pre-implantation embryonic death accompanied by a reduction of physiological oxidative stress in …,"N Sakamoto, M Ozawa, K Yokotani-Tomita… - …, 2008 - rep.bioscientifica.com",N Sakamoto; M Ozawa; K Yokotani-Tomita…,NO AUTOCITA,,https://rep.bioscientifica.com/view/journals/rep/135/4/489.xml,DbpzxFdzFvgJ
16,516,The role of the Src Homology-2 domain containing protein B (SHB) in β cells,"M Welsh, M Jamalpour, G Zang… - Journal of Molecular …, 2016 - jme.bioscientifica.com",M Welsh; M Jamalpour; G Zang…,NO AUTOCITA,,https://jme.bioscientifica.com/view/journals/jme/56/1/R21.xml,OEGNv4bgpHAJ
17,517,"R‐spondin1—discovery of the long‐missing, mammalian female‐determining gene?","D Wilhelm - Bioessays, 2007 - Wiley Online Library",D Wilhelm,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1002/bies.20553,FemprZWSkegJ
18,518,GATA-like protein-1 (GLP-1) is required for normal germ cell development during embryonic oogenesis,"TJ Strauss, DH Castrillon, SR Hammes - Reproduction, 2011 - academic.oup.com",TJ Strauss; DH Castrillon; SR Hammes,NO AUTOCITA,,https://academic.oup.com/reproduction/article-abstract/141/2/173/8243388,evJE7Hw3cFcJ
19,519,Synergistic Activation of the Mc2r Promoter by FOXL2 and NR5A1 in Mice,"WH Yang, NM Gutierrez, L Wang… - Biology of …, 2010 - academic.oup.com",WH Yang; NM Gutierrez; L Wang…,NO AUTOCITA,,https://academic.oup.com/biolreprod/article-abstract/83/5/842/2530242,SaXDr6mEqvQJ
20,520,Microarray analysis of Foxl2 mediated gene regulation in the mouse ovary derived KK1 granulosa cell line: Over-expression of Foxl2 leads to activation of the …,"JM Escudero, JL Haller, CM Clay… - Journal of ovarian …, 2010 - Springer",JM Escudero; JL Haller; CM Clay…,NO AUTOCITA,,https://link.springer.com/article/10.1186/1757-2215-3-4,AhIShxzq0UUJ
1,521,Molecular and genetic characterization of partial masculinization in embryonic ovaries grafted into male nude mice,"K Miura, K Harikae, M Nakaguchi, K Imaimatsu… - PLoS …, 2019 - journals.plos.org",K Miura; K Harikae; M Nakaguchi; K Imaimatsu…,NO AUTOCITA,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0212367,P2ckPCqN_e8J
2,522,Oocyte-specific gene signaling and its regulation of mammalian reproductive potential,"N Acevedo, GD Smith - Front Biosci, 2005 - storage.imrpress.com",N Acevedo; GD Smith,NO AUTOCITA,,https://storage.imrpress.com/imr/journal/FBL/article/492539/1752767643307.pdf,ZP1VYKUUMBAJ
3,523,FOXL2C134W-Induced CYP19 Expression via Cooperation With SMAD3 in HGrC1 Cells,"M Belli, N Iwata, T Nakamura, A Iwase… - …, 2018 - academic.oup.com",M Belli; N Iwata; T Nakamura; A Iwase…,NO AUTOCITA,,https://academic.oup.com/endo/article-abstract/159/4/1690/4874198,bz5uEDtCayYJ
4,524,Polledness intersex syndrome in goats–molecular and histological aspects,"I Szatkowska, D Zaborski… - Turkish Journal of …, 2014 - journals.tubitak.gov.tr",I Szatkowska; D Zaborski…,NO AUTOCITA,,https://journals.tubitak.gov.tr/veterinary/vol38/iss6/5/,ZdKuv4ZGbTMJ
5,525,Alterations in the protein kinase C signaling activated by a parthenogenetic agent in oocytes from reproductively old mice,"MC Carbone, C Tatone - Molecular Reproduction and …, 2009 - Wiley Online Library",MC Carbone; C Tatone,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrd.20923,fxif1PhMLyUJ
6,526,"Notch gain of function in mouse periocular mesenchyme downregulates FoxL2 and impairs eyelid levator muscle formation, leading to congenital blepharophimosis","Y Zhang, WWY Kao, E Pelosi… - Journal of cell …, 2011 - journals.biologists.com",Y Zhang; WWY Kao; E Pelosi…,NO AUTOCITA,,https://journals.biologists.com/jcs/article-abstract/124/15/2561/31782,Tw2W5Jwg2GwJ
7,527,Quantitative proteomic analysis uncovers protein-expression profiles during gonadotropin-dependent folliculogenesis in mice,"S Zhang, L Mu, H Wang, X Xu, L Jia, S Niu… - Biology of …, 2023 - academic.oup.com",S Zhang; L Mu; H Wang; X Xu; L Jia; S Niu…,NO AUTOCITA,,https://academic.oup.com/biolreprod/article-abstract/108/3/479/6883955,-m25b1ohkSUJ
8,528,The CpG Island in the Murine Foxl2 Proximal Promoter Is Differentially Methylated in Primary and Immortalized Cells,"S Tran, Y Wang, P Lamba, X Zhou, U Boehm… - PloS one, 2013 - journals.plos.org",S Tran; Y Wang; P Lamba; X Zhou; U Boehm…,NO AUTOCITA,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0076642,KjMjyu1zIUsJ
9,529,Diminished ovarian reserve in a woman with a balanced 13; 21 translocation,"N Kummer, JR Martin, L Pal - Fertility and sterility, 2009 - Elsevier",N Kummer; JR Martin; L Pal,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S001502820801501X,HimVqzU9y5oJ
10,530,Proceedings of the 9th international symposium on the biology of vertebrate sex determination 2023,"T Hatkevich, D Wilhelm - Frontiers in Cell and Developmental Biology, 2024 - frontiersin.org",T Hatkevich; D Wilhelm,NO AUTOCITA,,https://www.frontiersin.org/journals/cell-and-developmental-biology/articles/10.3389/fcell.2024.1530367/full,y-brvYK5ztkJ
11,531,The Expression Pattern of Insulin-Like Growth Factor Subtype 3 (igf3) in the Orange-Spotted Grouper Epinephelus coioides and Its Function on Ovary …,"F Jiao, B Fu, Y Yang, H Xue, Y Wu, H Zhao… - International Journal of …, 2023 - mdpi.com",F Jiao; B Fu; Y Yang; H Xue; Y Wu; H Zhao…,NO AUTOCITA,,https://www.mdpi.com/1422-0067/24/3/2868,mOC0Fc_8OMkJ
12,532,Transient development of ovotestes in XX Sox9 transgenic mice,"EP Gregoire, R Lavery, AA Chassot, H Akiyama… - Developmental …, 2011 - Elsevier",EP Gregoire; R Lavery; AA Chassot; H Akiyama…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0012160610011188,oYniSrRBzpcJ
13,533,"Genome‐wide identification of Sox8‐, and Sox9‐dependent genes during early post‐natal testis development in the mouse","F Chalmel, A Lardenois, I Georg, F Barrionuevo… - …, 2013 - Wiley Online Library",F Chalmel; A Lardenois; I Georg; F Barrionuevo,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.2047-2927.2012.00049.x,wmfCngPVjMQJ
14,534,Identification of transcripts involved in meiosis and follicle formation during ovine ovary development,"A Baillet, B Mandon-Pépin, C Cabau, E Poumerol… - BMC genomics, 2008 - Springer",A Baillet; B Mandon-Pépin; C Cabau; E Poumerol…,NO AUTOCITA,,https://link.springer.com/article/10.1186/1471-2164-9-436,OSO8AkJf_tIJ
15,535,Somatic stem cells of the ovary and their relationship to human ovarian cancers,"HL Chang, DT MacLaughlin, PK Donahoe - StemBook [Internet], 2009 - ncbi.nlm.nih.gov",HL Chang; DT MacLaughlin; PK Donahoe,NO AUTOCITA,,https://www.ncbi.nlm.nih.gov/books/n/stembook/somaticstemcellsoftheovary/?report=reader,B2AKDitYckMJ
16,536,Hypopituitarism in patients with blepharophimosis and FOXL2 mutations,"S Castets, F Roucher-Boulez, A Saveanu… - Hormone research in …, 2020 - karger.com",S Castets; F Roucher-Boulez; A Saveanu…,NO AUTOCITA,,https://karger.com/hrp/article/93/1/30/162954,ay2E_dmp-EIJ
17,537,High steroid content in conditioned medium of granulosa cells may disrupt primordial follicles formation in in vitro cultured one-day-old murine ovaries,"M Khodadi, MJ Atrabi, T Torkzadeh, M Fazli… - Reproductive …, 2022 - Elsevier",M Khodadi; MJ Atrabi; T Torkzadeh; M Fazli…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S1642431X22000122,NUQviHV59RUJ
18,538,Administration with Bushenkangshuai Tang alleviates UV irradiation- and oxidative stress-induced lifespan defects in nematode Caenorhabditis elegans,"Q Rui, Q Lu, D Wang - Frontiers of Medicine in China, 2009 - Springer",Q Rui; Q Lu; D Wang,NO AUTOCITA,,https://link.springer.com/article/10.1007/s11684-009-0002-0,HBPw2p74UToJ
19,539,Insights into female germ cell biology: from: in vivo: development to: in vitro: derivations,"D Jung, K Kee - Asian Journal of Andrology, 2015 - journals.lww.com",D Jung; K Kee,NO AUTOCITA,,https://journals.lww.com/ajandrology/fulltext/2015/17030/Insights_into_female_germ_cell_biology__from__in.9.aspx,2ApjnXVQ87cJ
20,540,Defects in the first wave of folliculogenesis in mouse XO ovaries,"K Miura, C Murata, K Harikae, H Suzuki… - … of Reproduction and …, 2017 - jstage.jst.go.jp",K Miura; C Murata; K Harikae; H Suzuki…,NO AUTOCITA,,https://www.jstage.jst.go.jp/article/jrd/63/3/63_2017-033/_article/-char/ja/,D6AK4jGH3EMJ
1,541,Characterization of Pisrt1/Foxl2 in Ellobius lutescens and exclusion as sex-determining genes,"A Baumstark, H Hameister, M Hakhverdyan… - Mammalian …, 2005 - Springer",A Baumstark; H Hameister; M Hakhverdyan,NO AUTOCITA,,https://link.springer.com/article/10.1007/s00335-004-2019-7,ZXAP0B1Awi8J
2,542,Ovarian follicle biology and the basis for gonadotoxicity,"MH Cordeiro, SY Kim, TK Woodruff - Cancer Treatment and the Ovary, 2015 - Elsevier",MH Cordeiro; SY Kim; TK Woodruff,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/B9780128015919000011,JxuAVbJKwrsJ
3,543,Developmental programming: postnatal estradiol modulation of prenatally organized reproductive neuroendocrine function in sheep,"M Puttabyatappa, RC Cardoso, C Herkimer… - …, 2016 - rep.bioscientifica.com",M Puttabyatappa; RC Cardoso; C Herkimer…,NO AUTOCITA,,https://rep.bioscientifica.com/view/journals/rep/152/2/139.xml,hi46jGBX8qIJ
4,544,Goat RSPO1 over-expression rescues sex-reversal in Rspo1-knockout XX mice but does not perturb testis differentiation in XY or sex-reversed XX mice,"L Buscara, F Montazer-Torbati, S Chadi, A Auguste… - Transgenic …, 2009 - Springer",L Buscara; F Montazer-Torbati; S Chadi; A Auguste…,NO AUTOCITA,,https://link.springer.com/article/10.1007/s11248-009-9247-2,W-9LPdVNAZoJ
5,545,Morphometric analysis of ovaries and follicles and their relationship with oocyte quality in embryo donor cows,"S Mitković, S Nedić, M Jovanović… - Asian Journal of …, 2025 - vet-erinar.vet.bg.ac.rs",S Mitković; S Nedić; M Jovanović…,NO AUTOCITA,,https://vet-erinar.vet.bg.ac.rs/handle/123456789/4710,ZMFqfUQsC8oJ
6,546,Transcriptomic analysis of MAP3K1 and MAP3K4 in the developing marsupial gonad,"M Paranjpe, H Yu, S Frankenberg, AJ Pask… - Sexual …, 2020 - karger.com",M Paranjpe; H Yu; S Frankenberg; AJ Pask,NO AUTOCITA,,https://karger.com/sxd/article/13/4/195/296285,FKOcmQjg0fEJ
7,547,"Expressions of hepatic genes, especially IGF-binding protein-1, correlating with serum corticosterone in microarray analysis","RY Cheng, LA Birely, NL Lum… - Journal of …, 2004 - jme.bioscientifica.com",RY Cheng; LA Birely; NL Lum…,NO AUTOCITA,,https://jme.bioscientifica.com/view/journals/jme/32/1/257.xml,3ilsTlsyldUJ
8,548,Caffeine and dithiothreitol delay ovine oocyte ageing,"XF Ye, SB Chen, LQ Wang, YC Zhao, XF Lv… - Reproduction, Fertility …, 2010 - connectsci.au",XF Ye; SB Chen; LQ Wang; YC Zhao; XF Lv…,NO AUTOCITA,,https://connectsci.au/rd/article-abstract/22/8/1254/49517,fNWiw6RMIOEJ
